[DEBUG][2016-10-10 15:36:12,549][org.springframework.context.support.GenericApplicationContext]Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@17ace0b2]
[DEBUG][2016-10-10 15:36:12,551][org.springframework.context.support.GenericApplicationContext]Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@277cd3d6]
[DEBUG][2016-10-10 15:36:12,555][org.springframework.beans.factory.support.DefaultListableBeanFactory]Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4d788a72: defining beans [org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,accountDao,urlDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,accountService,urlService,dataSource,sqlSessionFactory,transactionManager,transactionAdvice,org.springframework.aop.config.internalAutoProxyCreator,transactionPointcut,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor]; root of factory hierarchy
[DEBUG][2016-10-10 15:36:12,555][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0'
[DEBUG][2016-10-10 15:36:12,555][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'accountDao'
[DEBUG][2016-10-10 15:36:12,555][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'accountDao'
[DEBUG][2016-10-10 15:36:12,556][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
[DEBUG][2016-10-10 15:36:12,556][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
[DEBUG][2016-10-10 15:36:12,559][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' to allow for resolving potential circular references
[DEBUG][2016-10-10 15:36:12,566][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'transactionPointcut'
[DEBUG][2016-10-10 15:36:12,576][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'transactionPointcut'
[DEBUG][2016-10-10 15:36:12,577][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
[DEBUG][2016-10-10 15:36:12,632][org.springframework.beans.factory.annotation.InjectionMetadata]Registered injected element on class [com.xbgy.system.dao.impl.AccountDaoImpl]: ResourceElement for public void com.xbgy.core.dao.BaseDaoImpl.setSqlSessionFactory(org.apache.ibatis.session.SqlSessionFactory)
[DEBUG][2016-10-10 15:36:12,633][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'accountDao' to allow for resolving potential circular references
[DEBUG][2016-10-10 15:36:12,633][org.springframework.beans.factory.annotation.InjectionMetadata]Processing injected element of bean 'accountDao': ResourceElement for public void com.xbgy.core.dao.BaseDaoImpl.setSqlSessionFactory(org.apache.ibatis.session.SqlSessionFactory)
[DEBUG][2016-10-10 15:36:12,634][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'sqlSessionFactory'
[DEBUG][2016-10-10 15:36:12,634][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'sqlSessionFactory'
[DEBUG][2016-10-10 15:36:12,634][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
[DEBUG][2016-10-10 15:36:12,646][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.commons.JakartaCommonsLoggingImpl' adapter.
[DEBUG][2016-10-10 15:36:12,649][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'sqlSessionFactory' to allow for resolving potential circular references
[DEBUG][2016-10-10 15:36:12,655][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'dataSource'
[DEBUG][2016-10-10 15:36:12,656][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'dataSource'
[DEBUG][2016-10-10 15:36:12,656][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
[DEBUG][2016-10-10 15:36:12,720][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'dataSource' to allow for resolving potential circular references
[ERROR][2016-10-10 15:36:12,834][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[DEBUG][2016-10-10 15:36:12,871][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking init method  'init' on bean with name 'dataSource'
[INFO][2016-10-10 15:36:12,965][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[DEBUG][2016-10-10 15:36:12,965][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
[DEBUG][2016-10-10 15:36:12,965][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
[DEBUG][2016-10-10 15:36:13,262][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'dataSource'
[DEBUG][2016-10-10 15:36:13,263][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Looking for matching resources in directory tree [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\mapping]
[DEBUG][2016-10-10 15:36:13,263][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Searching directory [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\mapping] for files matching pattern [D:/work/xbgy/xbgy/target/classes/com/xbgy/system/mapping/*.xml]
[DEBUG][2016-10-10 15:36:13,264][org.springframework.core.io.support.PathMatchingResourcePatternResolver]Resolved location pattern [classpath:com/xbgy/system/mapping/*.xml] to resources [file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\mapping\AccountMapper.xml], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\mapping\PrivilegeMapper.xml], file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\mapping\UrlMapper.xml]]
[DEBUG][2016-10-10 15:36:13,265][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name 'sqlSessionFactory'
[DEBUG][2016-10-10 15:36:13,265][org.mybatis.spring.SqlSessionFactoryBean]Property 'configLocation' not specified, using default MyBatis Configuration
[DEBUG][2016-10-10 15:36:13,444][org.mybatis.spring.SqlSessionFactoryBean]Parsed mapper file: 'file [D:\work\xbgy\xbgy\target\classes\com\xbgy\system\mapping\AccountMapper.xml]'
